	Geneid	log2(fc)	logCPM	pvalue	FDR
41	OTU58	-4.73863542648134	10.2585050211874	7.25031837089902e-05	0.00211320254956691
42	OTU2046	-1.48892054871522	11.6070832037227	9.67079291642587e-05	0.00275157084169736
43	OTU7	-0.77938288368908	15.5364524198977	0.000102541926806579	0.00284971168683401
44	OTU1001	2.89852647836189	10.3261564474925	0.000109450936184979	0.00297258792593294
45	OTU19	1.07188034420914	12.8291818534082	0.000164558246917918	0.0043699356681536
46	OTU89	-4.57414297917487	10.1755353690752	0.000231832964266269	0.00602261722387373
47	OTU36	-1.28325655025147	11.7115592367095	0.000250798043945458	0.00637667367052814
48	OTU32	1.3231239439919	11.6423041130877	0.000478665595206514	0.0119167788806622
49	OTU254	1.41099232704856	11.1836523535336	0.00126606331167002	0.0308764419886872
50	OTU235	-4.18150586738442	9.99823831025544	0.00133108704503	0.031812980376217
51	OTU178	-2.00911482212658	10.6271373415571	0.00168477273907951	0.0394765377098043
52	OTU1308	2.42934295721977	10.1266532701684	0.00225058320615736	0.0512790965680798
53	OTU98	-1.27385687715646	11.2974618452875	0.00227430302770563	0.0512790965680798
54	OTU82	2.88107924351914	9.830787506195	0.00426264348658437	0.0930310288625233
55	OTU140	-3.57386964776958	9.76210202994785	0.00451531353475009	0.0930310288625233
56	OTU1591	-3.57420541036161	9.76230654012632	0.00451531353475009	0.0930310288625233
57	OTU208	-3.57447026761457	9.7626978949682	0.00451531353475009	0.0930310288625233
58	OTU242	-3.58665985359159	9.76998703094505	0.00451531353475009	0.0930310288625233
59	OTU43	-0.845418393889896	12.2121628592616	0.00499298163813588	0.101129034874108
60	OTU64	-1.86571077333196	10.5566523185887	0.00832828226767756	0.160836336437324
61	OTU777	-3.44203941321082	9.71747759555196	0.0087484199735783	0.160836336437324
62	OTU149	-3.44702264143084	9.72052324404555	0.0087484199735783	0.160836336437324
63	OTU263	-3.45461159621259	9.72521555882948	0.0087484199735783	0.160836336437324
64	OTU317	-3.45586582045211	9.72603338547838	0.0087484199735783	0.160836336437324
65	OTU159	-3.57068889386715	9.76020406801026	0.0087484199735783	0.160836336437324
66	OTU45	-1.04515292979681	11.3041090455741	0.00973357000777974	0.176236608474194
67	OTU54	-0.914126861515452	11.3692985276903	0.0128447333693488	0.229096363826445
68	OTU31	-1.23659582451237	11.2092220049568	0.0142255366452939	0.249992886634208
69	OTU213	3.93806667328365	9.60283181968389	0.0170146435706602	0.27476350090458
70	OTU14	-0.486269333073505	14.6887173859072	0.0169289055752109	0.27476350090458
71	OTU116	-1.39695820170175	10.7700748728614	0.0159504658272816	0.27476350090458
72	OTU1277	-3.42980357609249	9.71031789739513	0.0170146435706602	0.27476350090458
73	OTU162	-3.43444186429441	9.71303454733343	0.0170146435706602	0.27476350090458
74	OTU176	-3.44280354860253	9.71796620247036	0.0170146435706602	0.27476350090458
75	OTU48	-1.3137610915495	10.9622315604821	0.017767087156683	0.283088922029815
76	OTU422	1.26459607365305	10.7806255108901	0.0193532631768089	0.304304598635351
77	OTU29	-1.2430969162285	10.9306455620847	0.0236135171789053	0.366469519854439
78	OTU413	3.73380731402711	9.55401308221367	0.0332190660189079	0.46286167034526
79	OTU908	3.24425761007227	9.46360231279422	0.0332190660189079	0.46286167034526
80	OTU202	2.51945133956022	9.55509398400043	0.0332190660189079	0.46286167034526
81	OTU55	-0.669294373971605	12.1580839311374	0.0315636715527419	0.46286167034526
82	OTU164	-1.69601717400437	10.2607041447503	0.0333105469871903	0.46286167034526
83	OTU81	-1.71564379030799	10.2726055854064	0.0333105469871903	0.46286167034526
84	OTU150	-3.14996712821312	9.63049667286751	0.0332190660189079	0.46286167034526
85	OTU170	-3.15296515193647	9.6322679680086	0.0332190660189079	0.46286167034526
86	OTU359	-3.152970329628	9.63223873102875	0.0332190660189079	0.46286167034526
87	OTU34	-0.676181011594368	11.9923605647324	0.0348861347019918	0.47918311458483
88	OTU336	-1.17506342291478	10.8892039767835	0.0359254158932717	0.487850818096132
89	OTU156	2.16222671224661	9.79047409698052	0.043338730522233	0.570846536086203
90	OTU147	-1.49792491663897	10.3646205989198	0.0434703219948489	0.570846536086203
91	OTU215	-1.70344230717329	9.73085860721895	0.0426132714842041	0.570846536086203
92	OTU52	-0.934376066032167	11.0172102363574	0.052027622258793	0.675793571731061
93	OTU113	3.2176357515255	9.45483318692388	0.0651093693970597	0.760801394047454
94	OTU325	3.21598688771314	9.45429970701049	0.0651093693970597	0.760801394047454
95	OTU118	1.4335994446667	9.82907178789564	0.0645536941836753	0.760801394047454
96	OTU47	-0.779804693943664	11.4894954351299	0.0646290835235583	0.760801394047454
97	OTU66	-0.995735233576744	10.5644147148843	0.0655753502819144	0.760801394047454
98	OTU155	-2.79338305152637	9.54273491004204	0.0651093693970597	0.760801394047454
99	OTU351	-2.96861533290909	9.57884169229048	0.0651093693970597	0.760801394047454
100	OTU216	-2.96939621847419	9.57927738023354	0.0651093693970597	0.760801394047454
101	OTU195	-2.96973621499727	9.57948502730442	0.0651093693970597	0.760801394047454
102	OTU165	-2.97852100990449	9.58471251809104	0.0651093693970597	0.760801394047454
103	OTU177	-2.9811086688497	9.58623846884182	0.0651093693970597	0.760801394047454
104	OTU267	1.80994464349079	9.70559209189643	0.0714942776791394	0.813672969776873
105	OTU129	-2.15231677275381	9.86908515498823	0.0714942776791394	0.813672969776873
106	OTU94	-1.27097599439602	10.2507488160015	0.07398735016998	0.834102674086096
107	OTU282	-1.81297218363316	9.75529188269923	0.0748782087502333	0.836256630434848
108	OTU1490	3.20782278378399	9.45164656369659	0.128118436555504	1
109	OTU204	3.2070812363834	9.45140773851225	0.128118436555504	1
110	OTU230	3.2070812363834	9.45140773851225	0.128118436555504	1
111	OTU232	3.2070812363834	9.45140773851225	0.128118436555504	1
112	OTU789	3.2070812363834	9.45140773851225	0.128118436555504	1
113	OTU214	2.8739008663299	9.40657527859475	0.128118436555504	1
114	OTU226	2.85989226694971	9.40198898866898	0.128118436555504	1
115	OTU335	2.85956107256906	9.4018904195234	0.128118436555504	1
116	OTU605	2.85503261319356	9.40044104399424	0.128118436555504	1
117	OTU479	2.85491759890739	9.40040230360541	0.128118436555504	1
118	OTU90	2.8456859741736	9.39738338763197	0.253112033195021	1
119	OTU212	2.8456859741736	9.39738338763197	0.253112033195021	1
120	OTU467	2.8456859741736	9.39738338763197	0.253112033195021	1
121	OTU863	2.8456859741736	9.39738338763197	0.253112033195021	1
122	OTU947	2.8456859741736	9.39738338763197	0.253112033195021	1
123	OTU968	2.8456859741736	9.39738338763197	0.253112033195021	1
124	OTU2305	2.8456859741736	9.39738338763197	0.253112033195021	1
125	OTU471	2.3789029864174	9.34744432573168	0.253112033195021	1
126	OTU306	2.37878694703145	9.34740559107412	0.253112033195021	1
127	OTU311	2.37878694703145	9.34740559107412	0.253112033195021	1
128	OTU610	2.37373156690819	9.34575066608862	0.253112033195021	1
129	OTU1692	2.37199194237718	9.34519486836514	0.253112033195021	1
130	OTU419	2.36953115656083	9.34442025352619	0.253112033195021	1
131	OTU2150	2.36672954297341	9.34346523171294	0.502074688796679	1
132	OTU453	2.36499804898391	9.34291028625703	0.502074688796679	1
133	OTU809	2.36499804898391	9.34291028625703	0.502074688796679	1
134	OTU568	2.36466004294437	9.34281136734449	0.502074688796679	1
135	OTU981	2.36466004294437	9.34281136734449	0.502074688796679	1
136	OTU1453	2.36466004294437	9.34281136734449	0.502074688796679	1
137	OTU157	2.36293090754427	9.34225665369313	0.502074688796679	1
138	OTU888	2.36086655991669	9.34160328835124	0.502074688796679	1
139	OTU1034	2.36086655991669	9.34160328835124	0.502074688796679	1
140	OTU1888	2.36086655991669	9.34160328835124	0.502074688796679	1
141	OTU250	2.36048483247175	9.34148351569626	0.502074688796679	1
