name	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU2052	k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__67-14	g__norank	s__norank
OTU2053	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Pseudonocardia	s__norank
OTU2054	k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Subgroup_2	f__norank	g__norank	s__norank
OTU2055	k__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__unidentified_Peptostreptococcales-Tissierellales	g__norank	s__norank
OTU2056	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__norank	s__norank
OTU2057	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__Ktedonobacteraceae	g__HSB_OF53-F07	s__norank
OTU2058	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Alloprevotella	s__norank
OTU2059	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Denitratisoma	s__norank
OTU2060	k__Bacteria	p__Firmicutes	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2061	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12_marine_group	g__norank	s__norank
OTU2062	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__AKYH767	g__norank	s__norank
OTU2063	k__Bacteria	p__SAR324_clade(Marine_group_B)	c__unidentified_SAR324_clade(Marine_group_B)	o__unidentified_SAR324_clade(Marine_group_B)	f__unidentified_SAR324_clade(Marine_group_B)	g__unidentified_SAR324_clade(Marine_group_B)	s\_\_bacterium\_enrichment\_culture\_clone\_B30
OTU2064	k__Bacteria	p__unidentified_Bacteria	c__Vicinamibacteria	o__Vicinamibacterales	f__norank	g__norank	s__norank
OTU2065	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SBR1031	f__A4b	g__norank	s__norank
OTU2066	k__Bacteria	p__Entotheonellaeota	c__Entotheonellia	o__Entotheonellales	f__Entotheonellaceae	g__norank	s__norank
OTU2067	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__norank	s__norank
OTU2068	k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Subgroup_15	f__norank	g__norank	s__norank
OTU2069	k__Bacteria	p__Myxococcota	c__Polyangia	o__UASB-TL25	f__norank	g__norank	s__norank
OTU2070	k__Bacteria	p__Nitrospirota	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__unidentified_Nitrospiraceae	s__norank
OTU2071	k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__norank
OTU2072	k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__unidentified_Cyanobacteriia	f__unidentified_Cyanobacteriia	g__Leptolyngbya_ANT.L52.2	s__norank
OTU2073	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__norank	s__norank
OTU2074	k__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Turicibacter	s__norank
OTU2075	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2076	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2077	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__norank	g__norank	s__norank
OTU2078	k__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__UCG-010	g__norank	s__norank
OTU2079	k__Bacteria	p__unidentified_Bacteria	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__norank	s__norank
OTU2080	k__Bacteria	p__unidentified_Bacteria	c__Babeliae	o__Babeliales	f__Vermiphilaceae	g__norank	s__norank
OTU2081	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2082	k__Bacteria	p__Acidobacteriota	c__Subgroup_22	o__norank	f__norank	g__norank	s__norank
OTU2083	k__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__norank	g__norank	s__norank
