	ct1	ct2	ct3	ct4	ct5	ct6	yl1	yl2	yl3	yl4	yl5	yl6	ml1	ml2	ml3	ml4	ml5	ml6	xl1	xl2	xl3	xl4	xl5	xl6	hl1	hl2	hl3	hl4	hl5	hl6
OTU68	0	3	3	1	2	1	3	3	5	0	0	0	16	8	10	1	0	0	0	0	0	0	0	0	7	2	4	0	1	1
OTU69	0	2	2	2	1	0	0	0	0	4	0	1	1	0	1	1	1	3	0	2	1	1	5	3	1	1	0	0	3	7
OTU70	0	1	4	3	0	2	1	0	1	4	0	1	2	0	1	7	0	0	0	3	5	0	0	0	0	0	0	12	0	1
OTU71	0	0	0	0	0	0	0	0	0	0	0	0	4	4	7	2	2	8	0	0	0	0	0	0	4	2	3	4	5	12
OTU72	0	7	7	1	0	7	1	1	5	1	0	1	3	1	0	4	1	1	0	5	0	1	0	0	0	0	0	5	0	0
OTU73	0	0	3	0	0	1	3	3	5	0	0	0	19	2	0	2	0	1	1	1	1	2	0	0	1	0	0	0	0	0
OTU74	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
OTU75	1	3	0	2	0	1	0	2	0	0	0	1	1	2	1	3	0	0	5	0	0	1	0	0	0	6	2	5	3	2
OTU76	0	0	4	0	0	0	0	2	2	0	20	7	1	0	0	3	1	1	1	1	1	0	0	0	0	0	0	2	0	0
OTU77	4	2	4	2	7	1	1	2	0	4	0	3	2	1	0	5	0	0	4	5	2	1	0	0	0	4	3	8	1	0
OTU78	0	2	4	2	3	2	1	0	1	0	0	0	0	0	1	1	0	2	0	0	3	3	13	5	2	1	0	0	4	5
OTU79	0	2	1	0	3	4	2	2	0	0	0	0	3	4	0	7	9	6	0	0	0	0	0	0	0	0	0	1	7	3
OTU80	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	5	7	10	0	1	0	1	4	2	0	0	0	1	11	4
OTU81	6	3	4	3	3	4	3	1	1	1	0	2	0	1	1	0	0	1	7	3	2	2	0	0	1	1	0	1	0	0
OTU82	0	1	1	0	0	0	3	0	0	1	0	1	8	1	0	1	0	0	2	1	1	1	2	1	5	0	0	2	0	1
OTU83	3	4	12	2	5	6	3	3	0	10	0	4	3	5	3	6	4	1	5	7	0	1	0	0	1	0	0	20	2	1
OTU84	2	4	6	5	0	4	1	0	0	0	0	3	1	0	2	2	0	0	1	3	1	1	0	0	0	1	1	1	0	0
OTU85	0	5	2	7	1	3	1	1	3	5	0	0	3	1	5	3	0	0	1	0	5	0	0	1	1	1	0	2	0	0
OTU86	3	1	0	0	2	2	0	3	2	2	0	1	0	0	0	2	0	0	3	10	6	2	0	0	2	0	0	6	2	0
OTU87	0	0	1	0	0	1	2	1	0	1	0	0	0	3	0	0	0	0	5	4	3	0	0	0	0	0	0	2	0	0
OTU88	0	1	2	1	1	2	1	0	1	6	0	2	1	0	1	1	0	0	0	1	0	4	6	4	4	0	0	1	1	2
OTU89	0	15	0	1	4	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU90	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	3	0	0	5	1	1	0	0	0	0	0	0	1	0	0
OTU91	1	0	2	0	2	1	0	1	3	1	0	1	6	6	3	9	6	2	2	1	0	4	2	3	2	0	0	0	2	2
OTU92	0	1	1	0	0	0	0	0	0	1	24	2	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	1	1
OTU93	0	10	2	7	1	1	1	0	0	3	0	2	1	1	1	1	0	1	1	0	2	1	0	1	1	1	0	1	0	0
OTU94	0	4	8	1	6	3	0	0	0	2	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	3	0	1
OTU95	0	3	1	0	3	1	1	0	1	3	1	1	0	0	2	1	1	0	1	1	2	3	4	1	0	0	0	1	1	3
OTU96	4	11	21	15	14	16	3	1	2	5	0	5	2	3	0	5	1	0	2	5	0	1	0	2	0	0	1	5	0	1
OTU97	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
OTU98	8	10	19	2	16	13	1	1	0	1	2	1	1	6	2	3	1	0	1	3	2	0	1	2	4	1	0	12	0	1
OTU99	1	1	1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	16	1	6	1	0	0	1	0	0	5	1	2
OTU100	0	2	4	2	1	2	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	8	0	0
