name	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_799	k__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__Gemella	s__norank
OTU_800	k__Bacteria	p__Firmicutes	c__Clostridia	o__unidentified_Clostridia	f__Ruminococcaceae	g__norank	s__norank
OTU_801	k__Bacteria	p__unidentified_Bacteria	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__norank	s__norank
OTU_802	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank
OTU_803	k__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__Desulfobaccaceae	g__Desulfobacca	s__norank
OTU_804	k__Bacteria	p__SAR324_clade(Marine_group_B)	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_805	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_sensu_stricto_1	s__Clostridium_beijerinckii
OTU_806	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Oribacterium	s__norank
OTU_807	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas	s__norank
OTU_808	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank
OTU_809	k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__unidentified_0319-6G20	g__unidentified_0319-6G20	s\_\_bacterium\_enrichment\_culture\_clone\_B126
OTU_810	k__Bacteria	p__unidentified_Bacteria	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__norank	s__norank
OTU_811	k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__norank	g__norank	s__norank
OTU_812	k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Solibacterales	f__Solibacteraceae	g__Candidatus_Solibacter	s__norank
OTU_813	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__norank
OTU_814	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus_faecalis
OTU_815	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseococcus	s__norank
OTU_816	k__Bacteria	p__unidentified_Bacteria	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__norank	s__norank
OTU_817	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__1-20	f__norank	g__norank	s__norank
OTU_818	k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__norank
OTU_819	k__norank	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_820	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_pallens
OTU_821	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Pirellula	s__norank
OTU_822	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__GOUTA6	s__norank
OTU_823	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_824	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Rikenella	s__norank
OTU_825	k__Bacteria	p__Actinobacteriota	c__MB-A2-108	o__norank	f__norank	g__norank	s__norank
OTU_826	k__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__Desulfobaccaceae	g__Desulfobacca	s__norank
OTU_827	k__Bacteria	p__unidentified_Bacteria	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__norank	s__norank
OTU_828	k__Bacteria	p__MBNT15	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_829	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__norank
OTU_830	k__Bacteria	p__unidentified_Bacteria	c__Thermoleophilia	o__Gaiellales	f__norank	g__norank	s__norank
OTU_831	k__Bacteria	p__unidentified_Bacteria	c__Anaerolineae	o__norank	f__norank	g__norank	s__norank
OTU_832	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_paurosaccharolyticus
OTU_833	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Ahniella	s__norank
OTU_834	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_835	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium	s__Dorea_sp_5-2
OTU_836	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Labraceae	g__Labrys	s__alpha_proteobacterium_A0838
OTU_837	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__norank
OTU_838	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SJA-15	f__norank	g__norank	s__norank
OTU_839	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank
OTU_840	k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__Bdellovibrio_sp_oral_clone_CA006
