OTUID,V2
OTU397,ct
OTU397,hl
OTU397,ml
OTU397,xl
OTU397,yl
OTU398,xl
OTU398,yl
OTU399,hl
OTU4,ct
OTU4,hl
OTU4,ml
OTU4,xl
OTU4,yl
OTU40,ct
OTU40,hl
OTU40,ml
OTU40,xl
OTU40,yl
OTU400,yl
OTU401,hl
OTU401,ml
OTU401,yl
OTU402,hl
OTU403,ct
OTU403,hl
OTU404,ct
OTU404,yl
OTU405,hl
OTU405,xl
OTU406,hl
OTU406,xl
OTU406,yl
OTU407,ct
OTU407,hl
OTU407,ml
OTU408,hl
OTU408,ml
OTU408,xl
OTU409,hl
OTU409,ml
OTU41,ct
OTU41,hl
OTU41,ml
OTU41,xl
OTU41,yl
OTU410,xl
OTU410,yl
OTU411,ml
OTU411,xl
OTU412,ct
OTU413,ml
OTU413,yl
OTU414,ct
OTU414,hl
OTU414,ml
OTU414,yl
OTU415,xl
OTU415,yl
OTU416,ct
OTU416,hl
OTU417,ct
OTU417,hl
OTU417,ml
OTU418,xl
OTU418,yl
OTU419,hl
OTU419,ml
OTU42,ct
OTU42,hl
OTU42,ml
OTU42,xl
OTU42,yl
OTU420,ct
OTU420,hl
OTU421,ct
OTU421,hl
OTU421,xl
OTU422,ct
OTU422,hl
OTU422,ml
OTU422,xl
OTU422,yl
OTU423,ct
OTU423,ml
OTU423,xl
OTU424,ml
OTU424,xl
OTU425,yl
OTU426,ct
OTU426,hl
OTU426,xl
OTU426,yl
OTU427,ct
OTU428,yl
OTU429,yl
OTU43,ct
OTU43,hl
OTU43,ml
OTU43,xl
OTU43,yl
OTU430,ct
OTU431,xl
OTU431,yl
OTU432,ct
OTU433,ct
