	logFC	logCPM	PValue	FDR	sig	color
OTU72	-1.404908976	10.43457777	0.029594745	0.294714337	none	none
OTU103	3.329845864	9.661626786	0.033219066	0.310985185	none	none
OTU397	1.538092064	10.25194799	0.033310547	0.310985185	none	none
OTU166	-1.321778403	10.27528296	0.033310547	0.310985185	none	none
OTU155	-3.028383714	9.659646579	0.033219066	0.310985185	none	none
OTU1516	-3.033308031	9.662193142	0.033219066	0.310985185	none	none
OTU216	-3.212529209	9.70002606	0.033219066	0.310985185	none	none
OTU351	-3.213715561	9.700645026	0.033219066	0.310985185	none	none
OTU253	-3.225296657	9.706512814	0.033219066	0.310985185	none	none
OTU228	-2.03354846	10.03944837	0.040818868	0.378128271	none	none
OTU153	-2.227899599	9.841170252	0.042613271	0.391714303	none	none
OTU104	1.822167817	9.965719956	0.043338731	0.393538142	none	none
OTU88	1.373519792	10.29036046	0.043470322	0.393538142	none	none
OTU122	-1.567513601	10.23620833	0.049877999	0.448151944	none	none
OTU59	-0.677314799	11.27010046	0.052877036	0.471552671	none	none
OTU84	-1.356578917	10.41492363	0.05428246	0.480500292	none	none
OTU83	-0.90637398	10.83672318	0.055164433	0.484716896	none	none
OTU89	-1.275491968	10.51303423	0.055960037	0.488118568	none	none
OTU1834	2.834365965	9.569033615	0.065109369	0.511879582	none	none
OTU142	2.832718888	9.568326954	0.065109369	0.511879582	none	none
OTU236	2.832718888	9.568326954	0.065109369	0.511879582	none	none
OTU241	2.83029736	9.567302275	0.065109369	0.511879582	none	none
OTU65	-1.458075711	10.03512037	0.064553694	0.511879582	none	none
OTU460	-1.932759502	10.00612592	0.064553694	0.511879582	none	none
OTU366	-2.800082554	9.611134197	0.065109369	0.511879582	none	none
OTU173	-2.800357744	9.611274531	0.065109369	0.511879582	none	none
OTU622	-2.800632981	9.611414875	0.065109369	0.511879582	none	none
OTU430	-2.803010024	9.612635839	0.065109369	0.511879582	none	none
OTU1001	-2.805390771	9.613878085	0.065109369	0.511879582	none	none
OTU299	-3.002825073	9.64677008	0.065109369	0.511879582	none	none
OTU199	-3.017762988	9.654296717	0.065109369	0.511879582	none	none
OTU243	-3.021289578	9.65612969	0.065109369	0.511879582	none	none
OTU209	-3.024393016	9.657661624	0.065109369	0.511879582	none	none
OTU80	1.542228881	9.892585954	0.071494278	0.558403018	none	none
OTU291	-2.051257026	9.792416727	0.074878209	0.566325693	none	none
OTU359	-2.059518625	9.79600013	0.074878209	0.566325693	none	none
OTU150	-2.062157975	9.79737014	0.074878209	0.566325693	none	none
OTU170	-2.065058402	9.798878586	0.074878209	0.566325693	none	none
OTU218	-2.066294709	9.797198945	0.074878209	0.566325693	none	none
OTU127	-1.240933431	10.11434144	0.086543313	0.65043559	none	none
OTU25	0.616583341	11.79230295	0.098323752	0.734355521	none	none
